what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy",1345227991512
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227995083
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227995371
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227995387
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.callhierarchy.view",1345227995786
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227995876
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227995877
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.TypeHierarchy",1345227995920
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227996018
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345227996181
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1345227997222
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.callhierarchy.view",1345227999979
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345228000998
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1345228001007
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345228001086
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.callhierarchy.view",1345228001101
closed,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.TypeHierarchy",1345228008981
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345228012299
activated,view,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.PackageExplorer",1345228012309
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1345228012454
