what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.navigate.backwardHistory",1345280410938
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280410940
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280414632
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280436384
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280439612
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280469127
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280469181
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280472148
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.delete.line",1345280478999
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.delete.line",1345280480069
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.delete.line",1345280480420
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.delete.line",1345280482802
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280483114
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1345280490177
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1345280490226
opened,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1345280586394
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1345280586473
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.navigate.backwardHistory",1345280601509
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1345280603275
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.navigate.backwardHistory",1345280603337
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1345280613338
